Fe,Cr,Ni,Mo,Mn,Si,Cu,S,P,C,N,O,Nb,Ti,W,Co,V,Al,Zr,Ta,Ce,Re,B,MfgRoute,T[oC],t[hr],EtoJ,Rrp,Process_Original,Coolingmedium_Original,Solution_Original,Process_Clustered,Coolingmedium_Clustered,Solution_Clustered
81.178,17.0,0.0,0.86,0.25,0.51,0.0,0.011,0.031,0.1,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1600,0.5,0.0621,0.0621,Asreceived/Asbuilt/Asweld/Ascast/Asmade/Asprinted,Water Quenching,10 wt-% NaOH,As-received/Initial,Water-based Cooling,Basic/Alkaline Solution
81.147,16.97,0.0,0.86,0.25,0.52,0.0,0.011,0.032,0.1,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1600,0.5,0.0529,0.0529,Asreceived/Asbuilt/Asweld/Ascast/Asmade/Asprinted,Water Quenching,10 wt-% NaOH,As-received/Initial,Water-based Cooling,Basic/Alkaline Solution
81.08,16.91,0.0,0.85,0.25,0.52,0.0,0.011,0.029,0.09,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1600,0.5,0.052,0.052,Asreceived/Asbuilt/Asweld/Ascast/Asmade/Asprinted,Water Quenching,10 wt-% NaOH,As-received/Initial,Water-based Cooling,Basic/Alkaline Solution
59.845,26.99,6.48,4.89,1.0,0.27,0.13,0.001,0.017,0.017,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1100,0.5,0.0153,0.0153,Solution annealing,Water Quenching,1 M NaBr,Processed/Treated,Water-based Cooling,Chloride/Saline Solution
59.845,26.99,6.48,4.89,1.0,0.27,0.13,0.001,0.017,0.017,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,900,0.166,0.004848,0.004848,Solution aging,Water Quenching,1 M NaBr,Processed/Treated,Water-based Cooling,Chloride/Saline Solution
59.845,26.99,6.48,4.89,1.0,0.27,0.13,0.001,0.017,0.017,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,900,0.5,0.005714,0.005714,Solution aging,Water Quenching,1 M NaBr,Processed/Treated,Water-based Cooling,Chloride/Saline Solution
59.845,26.99,6.48,4.89,1.0,0.27,0.13,0.001,0.017,0.017,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,900,2.0,0.01028,0.01028,Solution aging,Water Quenching,1 M NaBr,Processed/Treated,Water-based Cooling,Chloride/Saline Solution
59.845,26.99,6.48,4.89,1.0,0.27,0.13,0.001,0.017,0.017,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,900,4.0,0.006857,0.006857,Solution aging,Water Quenching,1 M NaBr,Processed/Treated,Water-based Cooling,Chloride/Saline Solution
59.845,26.99,6.48,4.89,1.0,0.27,0.13,0.001,0.017,0.017,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,900,10.0,0.01212,0.01212,Solution aging,Water Quenching,1 M NaBr,Processed/Treated,Water-based Cooling,Chloride/Saline Solution
59.845,26.99,6.48,4.89,1.0,0.27,0.13,0.001,0.017,0.017,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,900,20.0,0.006875,0.006875,Solution aging,Water Quenching,1 M NaBr,Processed/Treated,Water-based Cooling,Chloride/Saline Solution
59.845,26.99,6.48,4.89,1.0,0.27,0.13,0.001,0.017,0.017,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,900,26.0,0.0054216,0.0054216,Solution aging,Water Quenching,1 M NaBr,Processed/Treated,Water-based Cooling,Chloride/Saline Solution
64.304,22.03,8.73,3.28,0.59,0.82,0.07,0.008,0.025,0.029,0.114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1000,0.5,0.0238,0.0238,Solution aging,Water Quenching,1 M NaCl=1mol/L NaCl,Processed/Treated,Water-based Cooling,Chloride/Saline Solution
64.304,22.03,8.73,3.28,0.59,0.82,0.07,0.008,0.025,0.029,0.114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,900,0.5,0.02346,0.02346,Solution aging,Water Quenching,1 M NaCl=1mol/L NaCl,Processed/Treated,Water-based Cooling,Chloride/Saline Solution
64.304,22.03,8.73,3.28,0.59,0.82,0.07,0.008,0.025,0.029,0.114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,850,0.5,0.01722,0.01722,Solution aging,Water Quenching,1 M NaCl=1mol/L NaCl,Processed/Treated,Water-based Cooling,Chloride/Saline Solution
64.304,22.03,8.73,3.28,0.59,0.82,0.07,0.008,0.025,0.029,0.114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,800,0.5,0.0122,0.0122,Solution aging,Water Quenching,1 M NaCl=1mol/L NaCl,Processed/Treated,Water-based Cooling,Chloride/Saline Solution
64.304,22.03,8.73,3.28,0.59,0.82,0.07,0.008,0.025,0.029,0.114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,750,0.5,0.00833,0.00833,Solution aging,Water Quenching,1 M NaCl=1mol/L NaCl,Processed/Treated,Water-based Cooling,Chloride/Saline Solution
64.304,22.03,8.73,3.28,0.59,0.82,0.07,0.008,0.025,0.029,0.114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,700,0.5,0.02057,0.02057,Solution aging,Water Quenching,1 M NaCl=1mol/L NaCl,Processed/Treated,Water-based Cooling,Chloride/Saline Solution
64.304,22.03,8.73,3.28,0.59,0.82,0.07,0.008,0.025,0.029,0.114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,600,0.5,0.01611,0.01611,Solution aging,Water Quenching,1 M NaCl=1mol/L NaCl,Processed/Treated,Water-based Cooling,Chloride/Saline Solution
64.304,22.03,8.73,3.28,0.59,0.82,0.07,0.008,0.025,0.029,0.114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,500,0.5,0.01944,0.01944,Solution aging,Water Quenching,1 M NaCl=1mol/L NaCl,Processed/Treated,Water-based Cooling,Chloride/Saline Solution
64.304,22.03,8.73,3.28,0.59,0.82,0.07,0.008,0.025,0.029,0.114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,400,0.5,0.1055,0.09468810000000001,Solution aging,Water Quenching,1 M NaCl=1mol/L NaCl,Processed/Treated,Water-based Cooling,Chloride/Saline Solution
64.304,22.03,8.73,3.28,0.59,0.82,0.07,0.008,0.025,0.029,0.114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,25,0.0166,0.01229,0.01229,Asreceived/Asbuilt/Asweld/Ascast/Asmade/Asprinted,Water Quenching,1 M NaCl=1mol/L NaCl,As-received/Initial,Water-based Cooling,Chloride/Saline Solution
